CAMPUS,CD203ARE1217R,CD203ARE1218R,CD203ARE1317R,CD203ARE1318R,CD203ARE1S17R,CD203ARE1S18R,CD303ARE1217R,CD303ARE1218R,CD303ARE1317R,CD303ARE1318R,CD303ARE1S17R,CD303ARE1S18R,CD403ARE1217R,CD403ARE1218R,CD403ARE1317R,CD403ARE1318R,CD403ARE1S17R,CD403ARE1S18R,CDA03ARE1217R,CDA03ARE1218R,CDA03ARE1317R,CDA03ARE1318R,CDA03ARE1S17R,CDA03ARE1S18R,CDB03ARE1217R,CDB03ARE1218R,CDB03ARE1317R,CDB03ARE1318R,CDB03ARE1S17R,CDB03ARE1S18R,CDE03ARE1217R,CDE03ARE1218R,CDE03ARE1317R,CDE03ARE1318R,CDE03ARE1S17R,CDE03ARE1S18R,CDF03ARE1217R,CDF03ARE1218R,CDF03ARE1317R,CDF03ARE1318R,CDF03ARE1S17R,CDF03ARE1S18R,CDH03ARE1217R,CDH03ARE1218R,CDH03ARE1317R,CDH03ARE1318R,CDH03ARE1S17R,CDH03ARE1S18R,CDI03ARE1217R,CDI03ARE1218R,CDI03ARE1317R,CDI03ARE1318R,CDI03ARE1S17R,CDI03ARE1S18R,CDL03ARE1217R,CDL03ARE1218R,CDL03ARE1317R,CDL03ARE1318R,CDL03ARE1S17R,CDL03ARE1S18R,CDM03ARE1217R,CDM03ARE1218R,CDM03ARE1317R,CDM03ARE1318R,CDM03ARE1S17R,CDM03ARE1S18R,CDR03ARE1217R,CDR03ARE1218R,CDR03ARE1317R,CDR03ARE1318R,CDR03ARE1S17R,CDR03ARE1S18R,CDS03ARE1217R,CDS03ARE1218R,CDS03ARE1317R,CDS03ARE1318R,CDS03ARE1S17R,CDS03ARE1S18R,CDW03ARE1217R,CDW03ARE1218R,CDW03ARE1317R,CDW03ARE1318R,CDW03ARE1S17R,CDW03ARE1S18R
'001909001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001909101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,46,30,21,85,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,33,-1,87,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,19,-1,92
'002901001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,45,41,30,23,70,80,-1,.,-1,.,-1,.,37,25,24,7,59,72,45,44,30,26,67,85,41,36,25,17,67,79,-1,-1,-1,-1,-1,-1,59,52,43,19,76,85,44,38,30,21,73,76,45,42,34,16,57,76,-1,-1,-1,-1,-1,-1,55,49,41,34,80,81
'002901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003801001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003801042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
